Data Table for Total Cases - The United States
Date generated: Thu Nov 11 2021 10:08:41 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases
United States,Aug 30 2020,6080991
United States,Aug 29 2020,6045343
United States,Aug 28 2020,6004702
United States,Aug 27 2020,5957978
United States,Aug 26 2020,5911094
United States,Aug 25 2020,5862850
United States,Aug 24 2020,5821141
United States,Aug 23 2020,5785125
United States,Aug 22 2020,5748888
United States,Aug 21 2020,5707422
United States,Aug 20 2020,5659683
United States,Aug 19 2020,5612921
United States,Aug 18 2020,5564855
United States,Aug 17 2020,5522064
United States,Aug 16 2020,5480247
United States,Aug 15 2020,5439309
United States,Aug 14 2020,5387984
United States,Aug 13 2020,5331779
United States,Aug 12 2020,5279725
United States,Aug 11 2020,5223908
United States,Aug 10 2020,5164181
United States,Aug  9 2020,5119858
United States,Aug  8 2020,5074448
United States,Aug  7 2020,5023120
United States,Aug  6 2020,4961201
United States,Aug  5 2020,4906236
United States,Aug  4 2020,4849540
United States,Aug  3 2020,4797027
United States,Aug  2 2020,4752209
United States,Aug  1 2020,4701539
United States,Jul 31 2020,4645233
United States,Jul 30 2020,4577183
United States,Jul 29 2020,4510661
United States,Jul 28 2020,4444718
United States,Jul 27 2020,4385387
United States,Jul 26 2020,4332716
United States,Jul 25 2020,4274848
United States,Jul 24 2020,4214097
United States,Jul 23 2020,4140572
United States,Jul 22 2020,4066641
United States,Jul 21 2020,3993517
United States,Jul 20 2020,3929361
United States,Jul 19 2020,3870670
United States,Jul 18 2020,3812349
United States,Jul 17 2020,3744312
United States,Jul 16 2020,3667044
United States,Jul 15 2020,3596541
United States,Jul 14 2020,3523343
United States,Jul 13 2020,3457657
United States,Jul 12 2020,3401838
United States,Jul 11 2020,3343467
United States,Jul 10 2020,3275534
United States,Jul  9 2020,3206642
United States,Jul  8 2020,3143455
United States,Jul  7 2020,3076697
United States,Jul  6 2020,3019275
United States,Jul  5 2020,2968621
United States,Jul  4 2020,2929006
United States,Jul  3 2020,2879540
United States,Jul  2 2020,2819315
United States,Jul  1 2020,2763238
United States,Jun 30 2020,2702927
United States,Jun 29 2020,2655099
United States,Jun 28 2020,2616633
United States,Jun 27 2020,2579361
United States,Jun 26 2020,2535784
United States,Jun 25 2020,2488785
United States,Jun 24 2020,2441250
United States,Jun 23 2020,2402968
United States,Jun 22 2020,2364002
United States,Jun 21 2020,2335606
United States,Jun 20 2020,2308811
United States,Jun 19 2020,2275445
United States,Jun 18 2020,2241961
United States,Jun 17 2020,2212859
United States,Jun 16 2020,2186509
United States,Jun 15 2020,2160863
United States,Jun 14 2020,2140756
United States,Jun 13 2020,2120704
United States,Jun 12 2020,2094936
United States,Jun 11 2020,2066390
United States,Jun 10 2020,2043316
United States,Jun  9 2020,2020291
United States,Jun  8 2020,2000965
United States,Jun  7 2020,1983463
United States,Jun  6 2020,1966089
United States,Jun  5 2020,1942722
United States,Jun  4 2020,1918195
United States,Jun  3 2020,1897192
United States,Jun  2 2020,1875714
United States,Jun  1 2020,1854073
United States,May 31 2020,1837103
United States,May 30 2020,1816325
United States,May 29 2020,1792594
United States,May 28 2020,1769292
United States,May 27 2020,1744640
United States,May 26 2020,1723526
United States,May 25 2020,1706681
United States,May 24 2020,1687683
United States,May 23 2020,1666257
United States,May 22 2020,1645505
United States,May 21 2020,1619444
United States,May 20 2020,1593881
United States,May 19 2020,1569008
United States,May 18 2020,1547778
United States,May 17 2020,1523230
United States,May 16 2020,1504194
United States,May 15 2020,1479051
United States,May 14 2020,1452019
United States,May 13 2020,1417479
United States,May 12 2020,1399557
United States,May 11 2020,1374777
United States,May 10 2020,1355560
United States,May  9 2020,1334213
United States,May  8 2020,1308202
United States,May  7 2020,1280052
United States,May  6 2020,1249340
United States,May  5 2020,1224982
United States,May  4 2020,1201456
United States,May  3 2020,1180203
United States,May  2 2020,1152524
United States,May  1 2020,1124233
United States,Apr 30 2020,1094024
United States,Apr 29 2020,1061625
United States,Apr 28 2020,1034392
United States,Apr 27 2020,1010663
United States,Apr 26 2020,986760
United States,Apr 25 2020,959635
United States,Apr 24 2020,926117
United States,Apr 23 2020,891930
United States,Apr 22 2020,858876
United States,Apr 21 2020,827330
United States,Apr 20 2020,801535
United States,Apr 19 2020,775950
United States,Apr 18 2020,748261
United States,Apr 17 2020,720672
United States,Apr 16 2020,690736
United States,Apr 15 2020,658860
United States,Apr 14 2020,633403
United States,Apr 13 2020,608115
United States,Apr 12 2020,583339
United States,Apr 11 2020,555681
United States,Apr 10 2020,523399
United States,Apr  9 2020,491409
United States,Apr  8 2020,456475
United States,Apr  7 2020,422912
United States,Apr  6 2020,392493
United States,Apr  5 2020,364045
United States,Apr  4 2020,336731
United States,Apr  3 2020,304284
United States,Apr  2 2020,272485
United States,Apr  1 2020,242453
United States,Mar 31 2020,214012
United States,Mar 30 2020,190602
United States,Mar 29 2020,174765
United States,Mar 28 2020,148524
United States,Mar 27 2020,127889
United States,Mar 26 2020,107663
United States,Mar 25 2020,88799
United States,Mar 24 2020,74515
United States,Mar 23 2020,63024
United States,Mar 22 2020,52189
United States,Mar 21 2020,41312
United States,Mar 20 2020,31976
United States,Mar 19 2020,24428
United States,Mar 18 2020,18126
United States,Mar 17 2020,13123
United States,Mar 16 2020,9791
United States,Mar 15 2020,7431
United States,Mar 14 2020,5229
United States,Mar 13 2020,3937
United States,Mar 12 2020,3017
United States,Mar 11 2020,2259
United States,Mar 10 2020,1741
United States,Mar  9 2020,1250
United States,Mar  8 2020,824
United States,Mar  7 2020,614
United States,Mar  6 2020,457
United States,Mar  5 2020,334
United States,Mar  4 2020,255
United States,Mar  3 2020,188
United States,Mar  2 2020,124
United States,Mar  1 2020,88
United States,Feb 29 2020,70
United States,Feb 28 2020,61
United States,Feb 27 2020,57
United States,Feb 26 2020,52
United States,Feb 25 2020,44
United States,Feb 24 2020,40
United States,Feb 23 2020,36
United States,Feb 22 2020,36
United States,Feb 21 2020,30
United States,Feb 20 2020,25
United States,Feb 19 2020,24
United States,Feb 18 2020,21
United States,Feb 17 2020,16
United States,Feb 16 2020,14
United States,Feb 15 2020,14
United States,Feb 14 2020,14
United States,Feb 13 2020,14
United States,Feb 12 2020,13
United States,Feb 11 2020,12
United States,Feb 10 2020,12
United States,Feb  9 2020,12
United States,Feb  8 2020,12
United States,Feb  7 2020,12
United States,Feb  6 2020,11
United States,Feb  5 2020,11
United States,Feb  4 2020,11
United States,Feb  3 2020,11
United States,Feb  2 2020,8
United States,Feb  1 2020,5
United States,Jan 31 2020,4
United States,Jan 30 2020,3
United States,Jan 29 2020,3
United States,Jan 28 2020,3
United States,Jan 27 2020,3
United States,Jan 26 2020,3
United States,Jan 25 2020,2
United States,Jan 24 2020,2
United States,Jan 23 2020,1
